Image_X,Image_Y,Camera_Z
260.0625112866107,368.3032785925468,-348.759841644753
219.71693886595403,390.58635720049455,-321.58852267797545
209.06026836645285,318.54159965703514,-297.29246429865844
199.27559361708438,251.74685649527203,-286.43562008085325
183.49515123541647,211.96572079817128,-278.18681548093946
255.35838076039676,383.66643757906587,-323.3201791829011
302.2778317472482,309.7257963196299,-276.5923689451032
318.7529876810143,250.33131964439787,-243.1325497024186
316.4808971170746,198.45442406134742,-227.41082139177146
316.8538532703484,164.32786957075268,-216.1945948955586
274.17451144039364,365.46255983134085,-327.6004868858211
309.2613522059321,269.05274201583836,-291.1755353132938
315.1581298559985,181.90160365411185,-261.46417413463615
285.3044872768096,122.45042838550495,-247.94961232658946
271.40459487065584,89.48438828163125,-235.2151100546305
282.22130060326384,346.7568451239119,-332.21665792531826
302.3662669010099,244.37156608378996,-311.3831774093845
272.4689637866743,157.80447280206266,-296.4426435144611
236.9572565204853,108.26511998436285,-289.15055614734075
203.36853479316073,82.41365193502554,-288.8383768743027
280.5025533665567,328.22764683460844,-338.9181567144445
272.02171577052025,231.38642260856113,-325.7344981137758
218.53598342324634,183.05023931610083,-318.95278782479835
182.72095636786705,163.81313730128232,-313.2313449627933
153.18004898128262,147.49397137391333,-309.2012203134371
