Image_X,Image_Y,Camera_Z
140.2925619593866,328.669532219308,-377.3084733629777
155.30910006193378,273.3843454694159,-392.7862270871259
222.29260114457668,243.1957813526244,-381.49490876589397
276.3316282767163,233.74405393062267,-374.193560911983
310.0605994232166,223.98849863415143,-373.3238940902489
145.1246534456548,280.4826999996728,-376.99653922477495
209.7186533473264,207.350992457936,-341.7504829077418
264.06739005602395,145.2919628602187,-326.7601171726815
305.70033539287937,117.01879255243182,-321.3966378461646
331.0187760341277,95.32496209798813,-317.6697285831861
148.56692408728645,293.5178926245526,-367.01134550463723
230.98473801237154,244.14385394187616,-335.17128596100713
308.48655927202105,194.88058119957998,-320.8705026038637
361.1487867296834,173.8551470328402,-323.7310203852694
387.10855793064803,149.9631920472001,-324.12335245085677
157.28239974586097,306.8381361093888,-361.4323995944092
244.82694756410044,290.3583193531565,-335.960511160354
330.4102544851604,273.8827340636411,-335.15318845105566
378.76434337159094,265.21122972109185,-341.78969229732786
404.44495654377806,267.00176552962375,-351.21750005120947
169.51983554233468,323.1705885456415,-360.32401734883814
260.5697325331005,318.64619812376753,-348.0740729405491
317.5926162900911,308.914872269744,-362.98958454838464
341.49630490040056,297.9505232087086,-374.2326723853131
359.90085791337486,290.7265938942682,-383.2630335169165
