Image_X,Image_Y,Camera_Z
235.18820277258948,320.8192691324451,-377.49828354285
269.2353245827298,268.07354233716114,-378.0385592918162
288.45547914970774,240.37596965158735,-338.74657469585395
308.0290966616621,232.4137650922051,-309.6726700050264
329.68817631030123,222.01357125915308,-293.3809881636838
239.65034805810546,273.33100403521115,-373.65548655781515
210.59794175642725,200.26577159234154,-322.99546101877036
206.76097687534093,131.27283318445814,-291.6065309412424
215.42366014431389,94.46039298500199,-271.90030144980295
220.0335688297374,64.60366312154275,-259.92141049593477
224.46399679764676,285.9816942578673,-366.40608254750197
204.33851102975234,240.1088076293418,-311.6704260385865
210.31319056294268,186.6688195182968,-272.4942242028834
247.06464369952522,158.83379436214778,-251.94362939365175
265.8877782133046,124.99350238904731,-241.03535370782566
218.18478274476044,299.81682782823833,-359.5035840535613
209.24112229720896,291.3927180004533,-307.47667229273
251.45063717846918,283.7717877880974,-271.05766637489984
299.55273020278446,280.22021406868697,-252.8040787942556
344.37880245883923,287.88299904893427,-244.61967022490234
220.55945140592704,317.85381260406916,-353.8231846912217
240.08213301046277,326.80849782137193,-307.2733021561157
305.54473609650876,329.0208837966711,-288.2470238018693
348.55638951774966,321.80750496179917,-281.25452889870616
384.76744911985344,317.33595656418953,-275.5658592196296
