Image_X,Image_Y,Camera_Z
195.63085288323967,389.87024915564376,-329.2549421819392
144.27111110091855,343.29861784786937,-319.38834900217444
183.62902495040208,264.49512420676837,-305.9642682299228
224.19859463011502,207.9107571187377,-302.25129339900724
241.25518251110617,167.82430127404768,-300.83199874941783
166.01902802373587,366.15365734454093,-310.82627559455045
217.33817263242187,286.6236421942168,-266.7981023376035
242.46566740404992,201.92112848370857,-240.99673858146582
264.76664997385535,139.76908352637525,-231.76792920265163
277.07388466272033,97.28647536609031,-224.54917975334584
192.74263730062532,373.89610568379953,-309.3751520702586
267.5134457535032,289.0984474278367,-277.0866974082517
316.00476615869985,193.63684221527882,-257.3016962512903
332.26784079747006,122.22809330171884,-255.97882187511553
335.2266850422455,76.27647808028189,-250.2006176119396
215.64835386217916,373.740659118896,-311.23909031306493
300.4563602839622,297.6053040929414,-294.5765075053283
343.1858485406566,208.15448115217447,-294.90635982186467
355.7742966646728,152.55154342664787,-300.29632381809574
356.3541946515712,122.74652965224317,-309.63068350947543
234.9028288745127,368.69114532895634,-317.5088120651161
304.367701050503,287.52984056986617,-314.3807524470381
309.67295989438,219.75514858115423,-326.39072713026906
302.08909509657224,184.11306070041286,-332.4802103344777
296.9148249107806,156.92461584498955,-337.82931867924583
