World_X,World_Y,World_Z,Image_X,Image_Y,Camera_Z
9.460123062133789,-22.79652976989746,-102.7412338256836,165.6232010565075,301.51486190596154,-314.49132157804877
35.135318756103516,-41.1285400390625,-91.99156951904297,212.53705304432464,242.8352755641938,-318.01617105298607
24.913267135620117,-63.41144561767578,-57.26049041748047,268.3759291536048,227.7315667015938,-283.5901210984284
11.574165344238281,-80.37953186035156,-36.30665969848633,318.3198238540411,234.31645250777314,-259.56789893860395
6.444902420043945,-93.48470306396484,-24.419471740722656,360.8384203119919,233.42224726736458,-247.24689772213463
27.86547088623047,-27.864673614501953,-85.5152816772461,180.97305893692177,247.4892433103662,-308.301400666275
24.114883422851562,-36.10301971435547,-23.729984283447266,200.7609105943933,175.24888124370722,-252.55844175713372
26.697017669677734,-48.845001220703125,14.80356216430664,243.98327333663843,101.39671830265439,-220.4563161621127
24.575424194335938,-60.651668548583984,34.277671813964844,289.15629529196576,66.0492582493489,-202.83710137504022
24.594829559326172,-67.48316955566406,47.30222702026367,320.157834768126,34.4602119360145,-191.68999663861305
17.341859817504883,-22.846187591552734,-81.578125,166.29911871546537,263.77050618114026,-299.6292987424023
2.576883316040039,-37.09212112426758,-25.716793060302734,197.76188966796715,230.55530195119132,-244.1249511543275
-3.536139488220215,-56.58207702636719,13.385337829589844,263.4530275372117,187.43198026493195,-207.68629366195745
-6.74940299987793,-77.57178497314453,28.83423614501953,344.64084942315327,172.8186600542594,-193.48275941729364
-3.9952917098999023,-88.01788330078125,40.851314544677734,393.1770347730519,141.3032497930962,-184.67488299430394
7.52364444732666,-22.17104721069336,-79.59907531738281,161.75719029169255,282.47061563450853,-293.20032615524633
-17.23605728149414,-39.549800872802734,-36.69884490966797,199.2057629968365,296.845927951255,-244.48141385840637
-31.43714141845703,-69.73556518554688,-12.684276580810547,293.9723995555728,314.3079172604815,-217.92803176398104
-37.547325134277344,-92.28812408447266,-3.346729278564453,374.0190443134983,327.2253239291388,-207.78943350498247
-41.684776306152344,-108.95523071289062,-3.3334970474243164,431.06265041876964,345.1352039424696,-206.5311980269214
-2.402355194091797,-25.037633895874023,-81.02289581298828,166.03609084951904,306.4228897247966,-289.86415901974317
-27.361608505249023,-51.23991394042969,-49.83961868286133,229.15839699938576,341.09328675246303,-251.73092773629045
-33.08411407470703,-83.12610626220703,-43.53733825683594,321.10353822676194,357.5342463014095,-244.846352600376
-31.530231475830078,-101.22029876708984,-41.35429382324219,374.35721097957537,355.3157979988856,-244.44329084821425
-30.807308197021484,-115.76215362548828,-39.91801071166992,417.1042665656971,355.296491453273,-244.14946959731307
