World_X,World_Y,World_Z,Image_X,Image_Y,Camera_Z
9.460123062133789,-22.79652976989746,-102.7412338256836,242.1669007237201,339.2112132923446,-360.0860564617911
35.135318756103516,-41.1285400390625,-91.99156951904297,253.75774975818652,274.80776073409794,-364.67838001736743
24.913267135620117,-63.41144561767578,-57.26049041748047,271.6240105723796,234.29479789992905,-327.92817692724884
11.574165344238281,-80.37953186035156,-36.30665969848633,296.38445779063056,213.3486923703931,-300.66694757154676
6.444902420043945,-93.48470306396484,-24.419471740722656,318.57542736414996,191.63548021942546,-286.1101639784679
27.86547088623047,-27.864673614501953,-85.5152816772461,228.6548204903111,290.71749055536225,-357.54157359714736
24.114883422851562,-36.10301971435547,-23.729984283447266,186.10409844179102,221.70532573645852,-306.6759645806581
26.697017669677734,-48.845001220703125,14.80356216430664,166.55441705218766,148.48361273219035,-276.6846381011965
24.575424194335938,-60.651668548583984,34.277671813964844,169.09308576232016,103.9826131138015,-258.44925446671584
24.594829559326172,-67.48316955566406,47.30222702026367,167.67623772744852,69.58560846584686,-247.33672935699613
17.341859817504883,-22.846187591552734,-81.578125,220.82229329346964,307.87094379715035,-348.8634726337152
2.576883316040039,-37.09212112426758,-25.716793060302734,199.6330583601701,260.4767558845548,-294.5916996953882
-3.536139488220215,-56.58207702636719,13.385337829589844,200.2623041341528,195.5546690362599,-257.56235464275125
-6.74940299987793,-77.57178497314453,28.83423614501953,235.34552438052876,148.23775049135992,-240.1010309997038
-3.9952917098999023,-88.01788330078125,40.851314544677734,246.27777361173804,104.89096803957915,-230.825932394372
7.52364444732666,-22.17104721069336,-79.59907531738281,222.02905548397177,322.7609296245521,-341.35434412321877
-17.23605728149414,-39.549800872802734,-36.69884490966797,226.37592818555774,307.87823388329446,-290.1792067030743
-31.43714141845703,-69.73556518554688,-12.684276580810547,279.39699242264396,274.08284672173016,-257.7270555088485
-37.547325134277344,-92.28812408447266,-3.346729278564453,332.7208060788058,246.2395302092085,-242.84253553460215
-41.684776306152344,-108.95523071289062,-3.3334970474243164,381.6862225222193,233.7977450073612,-237.3264598750098
-2.402355194091797,-25.037633895874023,-81.02289581298828,233.04416878468595,338.4793489139039,-335.7490450347331
-27.361608505249023,-51.23991394042969,-49.83961868286133,270.3958073240495,330.07909402767757,-291.82834683608553
-33.08411407470703,-83.12610626220703,-43.53733825683594,340.48932374810136,301.46832346953727,-277.8591612939357
-31.530231475830078,-101.22029876708984,-41.35429382324219,380.07823528283564,276.0571999582479,-273.9864148706925
-30.807308197021484,-115.76215362548828,-39.91801071166992,413.4258647556059,256.5635796967099,-270.78865072427664
