X_2D,Y_2D
214.2217413751569,392.122823150955
193.46861411784684,319.448066350903
181.4918159408317,243.91157333119804
160.5518346920148,196.30189953892182
255.74593407013597,392.97285658799524
284.70433098754694,342.2554271673371
277.702401294403,293.78491384171366
260.9977797187819,236.45255839350045
248.39181120595003,198.5438591017209
282.6936931197928,375.7474413176906
313.5831253113695,286.67245523393603
307.8081174300733,191.30603532168197
262.9172083814917,112.20363598094724
232.1335578774957,70.62706409161723
297.9231394426831,354.77447305845055
325.5191979556862,245.8283491097833
291.81357012262436,135.83846652481827
249.35620611000812,67.71981994013379
211.85360470007828,29.048061075149462
303.0749053333219,330.66798902136463
300.83790255242593,218.3944749846845
240.17778211796772,151.3270100997678
197.06518170221685,123.56278724600321
162.425528165465,100.21149680369251
